fuID,sID,Description
LOC_TD.128B_2002,PP38_2002,National (Former Regulation)
LOC_TD.128_2002,PP38_2002,National (Former Regulation)
LOC_TD.129_2002,PP38_2002,National (Former Regulation)
LOC_TD.130A_2002,PP38_2002,National (Former Regulation)
LOC_TD.130_2002,PP38_2002,National (Former Regulation)
LOC_TD.131_2002,PP38_2002,National (Former Regulation)
LOC_TD.133_2002,PP38_2002,National (Former Regulation)
LOC_TD.134A_2002,PP38_2002,National (Former Regulation)
LOC_TD.134_2002,PP38_2002,National (Former Regulation)
LOC_TD.135_2002,PP38_2002,National (Former Regulation)
LOC_TD.138_2002,PP38_2002,National (Former Regulation)
LOC_TD.139_2002,PP38_2002,National (Former Regulation)
LOC_TD.139A_2002,PP38_2002,National (Former Regulation)
LOC_TD.143_2002,PP38_2002,National (Former Regulation)
LOC_TD.144A_2002,PP38_2002,National (Former Regulation)
LOC_TD.144C_2002,PP38_2002,National (Former Regulation)
LOC_TD.144_2002,PP38_2002,National (Former Regulation)
LOC_TD.145_2002,PP38_2002,National (Former Regulation)
LOC_TD.146_2002,PP38_2002,National (Former Regulation)
LOC_TD.147_2002,PP38_2002,National (Former Regulation)
LOC_TD.148A_2002,PP38_2002,National (Former Regulation)
LOC_TD.148_2002,PP38_2002,National (Former Regulation)
LOC_TD.151_2002,PP38_2002,National (Former Regulation)
LOC_TD.152_2002,PP38_2002,National (Former Regulation)
LOC_TD.154A_2002,PP38_2002,National (Former Regulation)
LOC_TD.154_2002,PP38_2002,National (Former Regulation)
LOC_TD.154B_2002,PP38_2002,National (Former Regulation)
LOC_TD.155_2002,PP38_2002,National (Former Regulation)
LOC_TD.156_2002,PP38_2002,National (Former Regulation)
LOC_TD.158_2002,PP38_2002,National (Former Regulation)
LOC_TD.159_2002,PP38_2002,National (Former Regulation)
LOC_TD.161_2002,PP38_2002,National (Former Regulation)
LOC_TD.161B_2002,PP38_2002,National (Former Regulation)
LOC_TD.162_2002,PP38_2002,National (Former Regulation)
LOC_TD.164B_2002,PP38_2002,National (Former Regulation)
LOC_TD.164_2002,PP38_2002,National (Former Regulation)
LOC_TD.167_2002,PP38_2002,National (Former Regulation)
LOC_TD.168_2002,PP38_2002,National (Former Regulation)
LOC_TD.170_2002,PP38_2002,National (Former Regulation)
LOC_TD.171_2002,PP38_2002,National (Former Regulation)
LOC_TD.171C_2002,PP38_2002,National (Former Regulation)
LOC_TD.174_2002,PP38_2002,National (Former Regulation)
LOC_TD.175_2002,PP38_2002,National (Former Regulation)
LOC_TD.176A_2002,PP38_2002,National (Former Regulation)
LOC_TD.177_2002,PP38_2002,National (Former Regulation)
LOC_TD.177A_2002,PP38_2002,National (Former Regulation)
LOC_TD.178_2002,PP38_2002,National (Former Regulation)
LOC_TD.179_2002,PP38_2002,National (Former Regulation)
LOC_TD.180_2002,PP38_2002,National (Former Regulation)
LOC_TD.181_2002,PP38_2002,National (Former Regulation)
LOC_TD.181A_2002,PP38_2002,National (Former Regulation)
LOC_TD.182_2002,PP38_2002,National (Former Regulation)
LOC_TD.183_2002,PP38_2002,National (Former Regulation)
LOC_TD.184_2002,PP38_2002,National (Former Regulation)
LOC_TD.185_2002,PP38_2002,National (Former Regulation)
LOC_TD.186_2002,PP38_2002,National (Former Regulation)
LOC_TD.186A_2002,PP38_2002,National (Former Regulation)
LOC_TD.187_2002,PP38_2002,National (Former Regulation)
LOC_TD.188_2002,PP38_2002,National (Former Regulation)
LOC_TD.189_2002,PP38_2002,National (Former Regulation)
LOC_TD.190_2002,PP38_2002,National (Former Regulation)
LOC_TD.190A_2002,PP38_2002,National (Former Regulation)
LOC_TD.191_2002,PP38_2002,National (Former Regulation)
LOC_TD.191A_2002,PP38_2002,National (Former Regulation)
LOC_TD.191B_2002,PP38_2002,National (Former Regulation)
LOC_TD.192_2002,PP38_2002,National (Former Regulation)
LOC_TD.193_2002,PP38_2002,National (Former Regulation)
LOC_TD.194_2002,PP38_2002,National (Former Regulation)
LOC_TD.195_2002,PP38_2002,National (Former Regulation)
LOC_TD.109_2002,PP38_2002,National (Former Regulation)
LOC_TD.140_2002,PP38_2002,National (Former Regulation)
LOC_TD.036C_2002,PP38_2002,National (Former Regulation)
LOC_TD036B_2002,PP38_2002,National (Former Regulation)
LOC_TD.036A_2002,PP38_2002,National (Former Regulation)
