saID,GM_Object,Location,BSL_Type
BSL_130,"MultiLineString ((115.10861100000010993 -8.84888899999992873, 114.52583300000003419 -8.78722199999992881))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_131,"MultiLineString ((114.52583300000003419 -8.78722199999992881, 113.29361100000005536 -8.50833299999993642))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_132,"MultiLineString ((113.29361100000005536 -8.50833299999993642, 111.70861100000007582 -8.40666699999997036))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_133,"MultiLineString ((111.70861100000007582 -8.40666699999997036, 111.51138900000006515 -8.37138899999996511))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_134,"MultiLineString ((111.51138900000006515 -8.37138899999996511, 110.70861100000007582 -8.20083299999993187))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_135,"MultiLineString ((110.70861100000007582 -8.20083299999993187, 110.43888888900005441 -8.10138888899996346))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_136,"MultiLineString ((110.43888888900005441 -8.10138888899996346, 109.43111111100006383 -7.77749999999997499))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_137,"MultiLineString ((109.43111111100006383 -7.77749999999997499, 109.04277800000005527 -7.78472199999993109))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_138,"MultiLineString ((109.04277800000005527 -7.78472199999993109, 108.43250000000006139 -7.82138899999995374))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_139,"MultiLineString ((108.43250000000006139 -7.82138899999995374, 108.32166700000004766 -7.8197219999999561))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_140,"MultiLineString ((108.32166700000004766 -7.8197219999999561, 108.29861100000005081 -7.81749999999993861))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_141,"MultiLineString ((108.29861100000005081 -7.81749999999993861, 107.84222200000004932 -7.74222199999996974))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_142,"MultiLineString ((107.84222200000004932 -7.74222199999996974, 106.40388900000004924 -7.38888899999994919))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_143,"MultiLineString ((107.84222200000004932 -7.74222199999996974, 106.40388900000004924 -7.38888899999994919))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_144,"MultiLineString ((105.52361100000007355 -7.01666699999992716, 105.26222200000006524 -6.85472199999998111))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_145,"MultiLineString ((105.26222200000006524 -6.85472199999998111, 105.23888900000008562 -6.83944399999995767))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_146,"MultiLineString ((105.23888900000008562 -6.83944399999995767, 104.44055600000007189 -5.89583299999992505))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_147,"MultiLineString ((104.44055600000007189 -5.89583299999992505, 103.91583300000007739 -5.23944399999993493))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_148,"MultiLineString ((103.91583300000007739 -5.23944399999993493, 102.35305600000003778 -5.51388899999994919))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_149,"MultiLineString ((102.35305600000003778 -5.51388899999994919, 102.26666700000004084 -5.52027799999996205))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_150,"MultiLineString ((102.26666700000004084 -5.52027799999996205, 102.24500000000006139 -5.50833299999993642))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_151,"MultiLineString ((102.24500000000006139 -5.50833299999993642, 102.0844440000000759 -5.35972199999997656))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_152,"MultiLineString ((102.0844440000000759 -5.35972199999997656, 101.03027800000006664 -4.01999999999992497))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_153,"MultiLineString ((101.03027800000006664 -4.01999999999992497, 100.32972200000006069 -3.29666699999995672))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_154,"MultiLineString ((100.32972200000006069 -3.29666699999995672, 99.99861100000003944 -2.83722199999994018))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_155,"MultiLineString ((99.99861100000003944 -2.83722199999994018, 99.07611100000008264 -1.86611099999993257))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_156,"MultiLineString ((99.07611100000008264 -1.86611099999993257, 98.87638900000007425 -1.67861099999993257))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_157,"MultiLineString ((98.87638900000007425 -1.67861099999993257, 98.60194400000005999 -1.22555599999992637))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_158,"MultiLineString ((98.60194400000005999 -1.22555599999992637, 97.85388900000003787 -0.09249999999997272))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_159,"MultiLineString ((97.85388900000003787 -0.09249999999997272, 97.83527800000007346 -0.06805599999995593))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_160,"MultiLineString ((97.83527800000007346 -0.06805599999995593, 97.08000000000004093 1.21305600000005143))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_161,"MultiLineString ((97.08000000000004093 1.21305600000005143, 97.06055600000007644 1.40527800000006664))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_162,"MultiLineString ((97.06055600000007644 1.40527800000006664, 95.91805600000003551 2.52972200000004932))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_163,"MultiLineString ((95.91805600000003551 2.52972200000004932, 95.39277800000007801 2.96416700000003175))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_164,"MultiLineString ((95.39277800000007801 2.96416700000003175, 95.39272534400004133 2.96426571000006334, 95.385479278000048 2.98122402100005957, 95.38500000000004775 2.98250000000007276))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_165,"MultiLineString ((95.38500000000004775 2.98250000000007276, 95.36277800000004845 4.87583300000005693))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_166,"MultiLineString ((95.36277800000004845 4.87583300000005693, 95.20194400000008272 5.27611100000007127))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_167,"MultiLineString ((95.20194400000008272 5.27611100000007127, 94.97250000000008185 5.79277800000005527))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_168,"MultiLineString ((94.97250000000008185 5.79277800000005527, 95.11250000000006821 6.07500000000004547))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_169,"MultiLineString ((95.11250000000006821 6.07500000000004547, 95.11455300000005764 6.07615500000002839, 95.11597900000003847 6.07646800000003395, 95.11703600000004144 6.07649700000007442, 95.1183650000000398 6.07581200000004173, 95.11972200000008115 6.07500000000004547))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_170,"MultiLineString ((95.11972200000008115 6.07500000000004547, 95.3341670000000363 5.89722200000005614))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_171,"MultiLineString ((95.3341670000000363 5.89722200000005614, 95.88777800000008256 5.50333300000005465))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_172,"MultiLineString ((95.88777800000008256 5.50333300000005465, 96.83250000000003865 5.27527800000007119))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_173,"MultiLineString ((96.83250000000003865 5.27527800000007119, 97.49444400000004407 5.25111100000003717))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_174,"MultiLineString ((97.49444400000004407 5.25111100000003717, 97.54833300000007057 5.21694400000006908))",Malaca Strait,Common Baseline (Garis Pangkal Biasa)
BSL_175,"MultiLineString ((97.54833300000007057 5.21694400000006908, 97.9136110000000599 4.89388900000005833))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_176,"MultiLineString ((97.9136110000000599 4.89388900000005833, 98.28750000000007958 4.42666700000006585))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_177,"MultiLineString ((98.28750000000007958 4.42666700000006585, 99.50083300000005693 3.77722200000005159))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_178,"MultiLineString ((99.50083300000005693 3.77722200000005159, 100.68472200000007888 2.86944400000004407))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_179,"MultiLineString ((100.68472200000007888 2.86944400000004407, 101.70833300000003874 2.09500000000002728))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_180,"MultiLineString ((101.70833300000003874 2.09500000000002728, 102.47027800000006437 1.52472200000005387))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_181,"MultiLineString ((102.47027800000006437 1.52472200000005387, 102.96972200000004705 1.1011110000000599))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_182,"MultiLineString ((102.96972200000004705 1.1011110000000599, 103.35222200000004023 1.19166700000005221))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_183,"MultiLineString ((103.35222200000004023 1.19166700000005221, 103.38888900000006288 1.16638900000003787))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_184,"MultiLineString ((103.38888900000006288 1.16638900000003787, 103.65305600000004915 1.153611000000069))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_185,"MultiLineString ((103.65305600000004915 1.153611000000069, 103.65583300000008649 1.15333300000003192))",Singapore Strait,Common Baseline (Garis Pangkal Biasa)
BSL_186,"MultiLineString ((103.65583300000008649 1.15333300000003192, 103.699444000000085 1.12888900000007197))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_187,"MultiLineString ((103.699444000000085 1.12888900000007197, 103.77500000000003411 1.12416700000005676))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_188,"MultiLineString ((103.77500000000003411 1.12416700000005676, 103.81388900000007425 1.15722200000004705))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_189,"MultiLineString ((103.81388900000007425 1.15722200000004705, 103.88250000000005002 1.18500000000005912))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_190,"MultiLineString ((103.88250000000005002 1.18500000000005912, 104.07972200000006069 1.20805600000005597))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_191,"MultiLineString ((104.07972200000006069 1.20805600000005597, 104.39361100000007809 1.20444400000002361))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_192,"MultiLineString ((104.39361100000007809 1.20444400000002361, 104.55611100000004399 1.24305600000002414))",Singapore Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_193,"MultiLineString ((104.55611100000004399 1.24305600000002414, 104.56967022600008477 1.24303437800006122, 104.56986828700007663 1.24303437800006122, 104.5728250810000759 1.24249715300004482, 104.57307972900008508 1.24239819000007401, 104.5755560000000628 1.24083300000006602))",Singapore Strait,Common Baseline (Garis Pangkal Biasa)
