fuID,Label,Status,ReleasibilityType,LocationTypeList,InterpolationRole,PointType,StartLifeSpan,EndLifeSpan,HorizontalDatum,VerticalDatum
LOC_TD.131_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.133_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.134A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.134_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.135_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.138_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.139_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.139A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.140_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.141_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.142_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.143_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.144A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.144C_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.144_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.145_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.146_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.147_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.148A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.148_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.151_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.152_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.154A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.154_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.154B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.155_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.156_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
