fuID,Label,Status,ReleasibilityType,LocationTypeList,InterpolationRole,PointType,StartLifeSpan,EndLifeSpan,HorizontalDatum,VerticalDatum
LOC_TD.058_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.059_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.060_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.061A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.062_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.063_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.065_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.066_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.066A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.070_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.070A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.071_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.072_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.072A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.074_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.076B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.077_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.078_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.079_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.080_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.080A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.081_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.082_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.082A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.082B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.082C_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.083_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.085_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.086_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.088A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.088E_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.088F_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.090_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.091_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.092_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.093_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.094_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.097A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.098_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.099_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.099A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.100_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.100A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.100B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.101_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.101A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.102_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.103_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.104_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.105B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.105_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.105C_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.106_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.106A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.107_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.107A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.107C_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.108_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.109_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.110_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.110A_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.111_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.112_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.112A_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.113_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.113A_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.113B_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.114_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.114A_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.115_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.116_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.117_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.118_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.120_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.121_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.122_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.123_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.123A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.124_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.125_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.125A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.128B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.128_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.129_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.130A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.130_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
